"ID";"Assetpfad";"Familie";"Status";"Verantwortlich";"Notiz";"Letzte Aenderung"
"MP0-0030";"Assets/_Game/Prefabs/Actors/3D/SealGuardian_3D.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0031";"Assets/_Game/Prefabs/Actors/3D/Terrock_3D.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0032";"Assets/_Game/Prefabs/Actors/3D/Wildling_3D.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0033";"Assets/_Game/Prefabs/Bosses/Garon.prefab";"Sonstige sichtbare 3D-Assets";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0034";"Assets/_Game/Prefabs/Buildings/Level01/BLD_CookingPot_L01.prefab";"Gebaeude/Stationen";"abgenommen";"Phase-4-Produktionsstationskit produktiv integriert; 3 LODs, GUID/Collider/Nav/Interaktion geprueft";"MIDPOLY-000 Phase4";"2026-08-24"
"MP0-0035";"Assets/_Game/Prefabs/Buildings/Level01/BLD_Door_L01.prefab";"Gebaeude/Stationen";"abgenommen";"Phase-4-Basismodulkit produktiv integriert; 3 LODs, GUID/Collider/Snap/Verbinder bzw. Tuerangel geprueft";"MIDPOLY-000 Phase4";"2026-08-24"
"MP0-0036";"Assets/_Game/Prefabs/Buildings/Level01/BLD_FarmPlot_L01.prefab";"Gebaeude/Stationen";"abgenommen";"Phase-4-Produktionsstationskit produktiv integriert; 3 LODs und drei Farmzustaende geprueft";"MIDPOLY-000 Phase4";"2026-08-24"
"MP0-0037";"Assets/_Game/Prefabs/Buildings/Level01/BLD_Floor_L01.prefab";"Gebaeude/Stationen";"abgenommen";"Phase-4-Basismodulkit produktiv integriert; 3 LODs, GUID/Collider/Snap/Verbinder bzw. Tuerangel geprueft";"MIDPOLY-000 Phase4";"2026-08-24"
"MP0-0038";"Assets/_Game/Prefabs/Buildings/Level01/BLD_Ropewalk_L01.prefab";"Gebaeude/Stationen";"abgenommen";"Phase-4-Produktionsstationskit produktiv integriert; 3 LODs, GUID/Collider/Nav/Interaktion geprueft";"MIDPOLY-000 Phase4";"2026-08-24"
"MP0-0039";"Assets/_Game/Prefabs/Buildings/Level01/BLD_Sawmill_L01.prefab";"Gebaeude/Stationen";"abgenommen";"Phase-4-Produktionsstationskit produktiv integriert; 3 LODs, GUID/Collider/Nav/Interaktion geprueft";"MIDPOLY-000 Phase4";"2026-08-24"
"MP0-0040";"Assets/_Game/Prefabs/Buildings/Level01/BLD_Smelter_L01.prefab";"Gebaeude/Stationen";"abgenommen";"Phase-4-Produktionsstationskit produktiv integriert; 3 LODs, GUID/Collider/Nav/Interaktion geprueft";"MIDPOLY-000 Phase4";"2026-08-24"
"MP0-0041";"Assets/_Game/Prefabs/Buildings/Level01/BLD_Stonecutter_L01.prefab";"Gebaeude/Stationen";"abgenommen";"Phase-4-Produktionsstationskit produktiv integriert; 3 LODs, GUID/Collider/Nav/Interaktion geprueft";"MIDPOLY-000 Phase4";"2026-08-24"
"MP0-0042";"Assets/_Game/Prefabs/Buildings/Level01/BLD_Wall_L01.prefab";"Gebaeude/Stationen";"abgenommen";"Phase-4-Basismodulkit produktiv integriert; 3 LODs, GUID/Collider/Snap/Verbinder bzw. Tuerangel geprueft";"MIDPOLY-000 Phase4";"2026-08-24"
"MP0-0043";"Assets/_Game/Prefabs/Containers/Forge/CompletionChest_2D.prefab";"Truhen/Container";"abgenommen";"Codex";"Phase-4-Schmiedecontainerkit produktiv integriert; 3 LODs, vier Zustaende, GUID/Collider und Bossfreigabe geprueft";"2026-08-24"
"MP0-0044";"Assets/_Game/Prefabs/Containers/Forge/EliteChest_2D.prefab";"Truhen/Container";"abgenommen";"Codex";"Phase-4-Schmiedecontainerkit produktiv integriert; 3 LODs, vier Zustaende, GUID/Collider und Bossfreigabe geprueft";"2026-08-24"
"MP0-0045";"Assets/_Game/Prefabs/Containers/Forge/LargeRewardChest_2D.prefab";"Truhen/Container";"abgenommen";"Codex";"Phase-4-Schmiedecontainerkit produktiv integriert; 3 LODs, vier Zustaende, GUID/Collider und Belohnungsstufe geprueft";"2026-08-24"
"MP0-0046";"Assets/_Game/Prefabs/Containers/Forge/MediumRewardChest_2D.prefab";"Truhen/Container";"abgenommen";"Codex";"Phase-4-Schmiedecontainerkit produktiv integriert; 3 LODs, vier Zustaende, GUID/Collider und Belohnungsstufe geprueft";"2026-08-24"
"MP0-0047";"Assets/_Game/Prefabs/Containers/Forge/OptionalChest_2D.prefab";"Truhen/Container";"abgenommen";"Codex";"Phase-4-Schmiedecontainerkit produktiv integriert; 3 LODs, vier Zustaende und GUID/Collider geprueft";"2026-08-24"
"MP0-0048";"Assets/_Game/Prefabs/Containers/Forge/RecoveryContainer_2D.prefab";"Truhen/Container";"abgenommen";"Codex";"Phase-4-Schmiedecontainerkit produktiv integriert; 3 LODs, vier Zustaende, GUID/Collider und Recovery-Rolle geprueft";"2026-08-24"
"MP0-0049";"Assets/_Game/Prefabs/Containers/Forge/SmallRewardChest_2D.prefab";"Truhen/Container";"abgenommen";"Codex";"Phase-4-Schmiedecontainerkit produktiv integriert; 3 LODs, vier Zustaende, GUID/Collider und Belohnungsstufe geprueft";"2026-08-24"
"MP0-0050";"Assets/_Game/Prefabs/Containers/Forge/SupplyChest_2D.prefab";"Truhen/Container";"abgenommen";"Codex";"Phase-4-Schmiedecontainerkit produktiv integriert; 3 LODs, vier Zustaende und GUID/Collider geprueft";"2026-08-24"
"MP0-0051";"Assets/_Game/Prefabs/Enemies/Forge/AshRunner.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0052";"Assets/_Game/Prefabs/Enemies/Forge/CoreGuardian.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0053";"Assets/_Game/Prefabs/Enemies/Forge/EmberEater.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0054";"Assets/_Game/Prefabs/Enemies/Forge/ForgeGuardian.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0055";"Assets/_Game/Prefabs/Enemies/Forge/SealGuardian.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0056";"Assets/_Game/Prefabs/Enemies/TierTwo/GraniteShell.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0057";"Assets/_Game/Prefabs/Enemies/TierTwo/MoorThrower.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0058";"Assets/_Game/Prefabs/Enemies/TierTwo/RiftGuardian.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0059";"Assets/_Game/Prefabs/Enemies/TierTwo/Riftling.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0060";"Assets/_Game/Prefabs/Enemies/TierTwo/RootCharger.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0061";"Assets/_Game/Prefabs/Enemies/WildEidra.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0062";"Assets/_Game/Prefabs/Enemies/Wildling.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0063";"Assets/_Game/Prefabs/Environment/AreaArtVariants/EmberRuins_tree_Active.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Mid-Poly-V2-Kern und Gebietsaufsatz in der Gesamt-QA abgenommen";"2026-08-25"
"MP0-0064";"Assets/_Game/Prefabs/Environment/AreaArtVariants/EmberRuins_tree_Exhausted.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Mid-Poly-V2-Kern und Gebietsaufsatz in der Gesamt-QA abgenommen";"2026-08-25"
"MP0-0065";"Assets/_Game/Prefabs/Environment/AreaArtVariants/Greenwood_tree_Active.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Mid-Poly-V2-Kern und Gebietsaufsatz in der Gesamt-QA abgenommen";"2026-08-25"
"MP0-0066";"Assets/_Game/Prefabs/Environment/AreaArtVariants/Greenwood_tree_Exhausted.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Mid-Poly-V2-Kern und Gebietsaufsatz in der Gesamt-QA abgenommen";"2026-08-25"
"MP0-0067";"Assets/_Game/Prefabs/Environment/AreaArtVariants/GreyRifts_granite_deposit_Active.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Granit/Eisen-Kit produktiv integriert; LOD-/Animations- und Zonenvertrag geprueft";"2026-08-25"
"MP0-0068";"Assets/_Game/Prefabs/Environment/AreaArtVariants/GreyRifts_granite_deposit_Exhausted.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Granit/Eisen-Kit produktiv integriert; Exhausted-Zonenvariante geprueft";"2026-08-25"
"MP0-0069";"Assets/_Game/Prefabs/Environment/AreaArtVariants/GreyRifts_iron_vein_Active.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Granit/Eisen-Kit produktiv integriert; LOD-/Animations- und Zonenvertrag geprueft";"2026-08-25"
"MP0-0070";"Assets/_Game/Prefabs/Environment/AreaArtVariants/GreyRifts_iron_vein_Exhausted.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Granit/Eisen-Kit produktiv integriert; Exhausted-Zonenvariante geprueft";"2026-08-25"
"MP0-0071";"Assets/_Game/Prefabs/Environment/AreaArtVariants/Marsh_fiber_plant_Active.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Mid-Poly-V2-Kern und Gebietsaufsatz in der Gesamt-QA abgenommen";"2026-08-25"
"MP0-0072";"Assets/_Game/Prefabs/Environment/AreaArtVariants/Marsh_fiber_plant_Exhausted.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Mid-Poly-V2-Kern und Gebietsaufsatz in der Gesamt-QA abgenommen";"2026-08-25"
"MP0-0073";"Assets/_Game/Prefabs/Environment/AreaArtVariants/Marsh_tree_Active.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Mid-Poly-V2-Kern und Gebietsaufsatz in der Gesamt-QA abgenommen";"2026-08-25"
"MP0-0074";"Assets/_Game/Prefabs/Environment/AreaArtVariants/Marsh_tree_Exhausted.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Mid-Poly-V2-Kern und Gebietsaufsatz in der Gesamt-QA abgenommen";"2026-08-25"
"MP0-0075";"Assets/_Game/Prefabs/Environment/AreaArtVariants/Quarry_stone_deposit_Active.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Mid-Poly-V2-Kern und Gebietsaufsatz in der Gesamt-QA abgenommen";"2026-08-25"
"MP0-0076";"Assets/_Game/Prefabs/Environment/AreaArtVariants/Quarry_stone_deposit_Exhausted.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Mid-Poly-V2-Kern und Gebietsaufsatz in der Gesamt-QA abgenommen";"2026-08-25"
"MP0-0077";"Assets/_Game/Prefabs/Environment/AreaArtVariants/Quarry_tree_Active.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Mid-Poly-V2-Kern und Gebietsaufsatz in der Gesamt-QA abgenommen";"2026-08-25"
"MP0-0078";"Assets/_Game/Prefabs/Environment/AreaArtVariants/Quarry_tree_Exhausted.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Mid-Poly-V2-Kern und Gebietsaufsatz in der Gesamt-QA abgenommen";"2026-08-25"
"MP0-0079";"Assets/_Game/Prefabs/Environment/AreaArtVariants/TwilightGrove_hardwood_tree_Active.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Ressourcenfamilie und Gebietsaufsatz in der Gesamt-QA abgenommen";"2026-08-25"
"MP0-0080";"Assets/_Game/Prefabs/Environment/AreaArtVariants/TwilightGrove_hardwood_tree_Exhausted.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Ressourcenfamilie und Gebietsaufsatz in der Gesamt-QA abgenommen";"2026-08-25"
"MP0-0081";"Assets/_Game/Prefabs/Environment/AreaArtVariants/TwilightGrove_swamp_hemp_Active.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Ressourcenfamilie und Gebietsaufsatz in der Gesamt-QA abgenommen";"2026-08-25"
"MP0-0082";"Assets/_Game/Prefabs/Environment/AreaArtVariants/TwilightGrove_swamp_hemp_Exhausted.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Ressourcenfamilie und Gebietsaufsatz in der Gesamt-QA abgenommen";"2026-08-25"
"MP0-0083";"Assets/_Game/Prefabs/Environment/AreaArtVariants/VeilMarsh_iron_vein_Active.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Granit/Eisen-Kit produktiv integriert; LOD-/Animations- und Zonenvertrag geprueft";"2026-08-25"
"MP0-0084";"Assets/_Game/Prefabs/Environment/AreaArtVariants/VeilMarsh_iron_vein_Exhausted.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Granit/Eisen-Kit produktiv integriert; Exhausted-Zonenvariante geprueft";"2026-08-25"
"MP0-0085";"Assets/_Game/Prefabs/Environment/AreaArtVariants/VeilMarsh_swamp_hemp_Active.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Ressourcenfamilie und Gebietsaufsatz in der Gesamt-QA abgenommen";"2026-08-25"
"MP0-0086";"Assets/_Game/Prefabs/Environment/AreaArtVariants/VeilMarsh_swamp_hemp_Exhausted.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Ressourcenfamilie und Gebietsaufsatz in der Gesamt-QA abgenommen";"2026-08-25"
"MP0-0087";"Assets/_Game/Prefabs/Environment/StyleProof/SP_Accent_GlowMushrooms.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Umgebungskit: LOD0/1/2, Material- und Collidervertrag abgenommen";"2026-08-25"
"MP0-0088";"Assets/_Game/Prefabs/Environment/StyleProof/SP_EidrenRune.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Umgebungskit: LOD0/1/2, Material- und Collidervertrag abgenommen";"2026-08-25"
"MP0-0089";"Assets/_Game/Prefabs/Environment/StyleProof/SP_GroundCover_Grass.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Umgebungskit: LOD0/1/2, Material- und Collidervertrag abgenommen";"2026-08-25"
"MP0-0090";"Assets/_Game/Prefabs/Environment/StyleProof/SP_GroundCover_Moss.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Umgebungskit: LOD0/1/2, Material- und Collidervertrag abgenommen";"2026-08-25"
"MP0-0091";"Assets/_Game/Prefabs/Environment/StyleProof/SP_Plant_Bush.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Umgebungskit: LOD0/1/2, Material- und Collidervertrag abgenommen";"2026-08-25"
"MP0-0092";"Assets/_Game/Prefabs/Environment/StyleProof/SP_Plant_Fern.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Umgebungskit: LOD0/1/2, Material- und Collidervertrag abgenommen";"2026-08-25"
"MP0-0093";"Assets/_Game/Prefabs/Environment/StyleProof/SP_Plant_Flowers.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Umgebungskit: LOD0/1/2, Material- und Collidervertrag abgenommen";"2026-08-25"
"MP0-0094";"Assets/_Game/Prefabs/Environment/StyleProof/SP_Rock_Large.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Umgebungskit: LOD0/1/2, Material- und Collidervertrag abgenommen";"2026-08-25"
"MP0-0095";"Assets/_Game/Prefabs/Environment/StyleProof/SP_Rock_Medium.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Umgebungskit: LOD0/1/2, Material- und Collidervertrag abgenommen";"2026-08-25"
"MP0-0096";"Assets/_Game/Prefabs/Environment/StyleProof/SP_Rock_Small.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Umgebungskit: LOD0/1/2, Material- und Collidervertrag abgenommen";"2026-08-25"
"MP0-0097";"Assets/_Game/Prefabs/Environment/StyleProof/SP_RuinMonument.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Umgebungskit: LOD0/1/2, Material- und Collidervertrag abgenommen";"2026-08-25"
"MP0-0098";"Assets/_Game/Prefabs/Environment/StyleProof/SP_RuinWall_A.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Umgebungskit: LOD0/1/2, Material- und Collidervertrag abgenommen";"2026-08-25"
"MP0-0099";"Assets/_Game/Prefabs/Environment/StyleProof/SP_RuinWall_B.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Umgebungskit: LOD0/1/2, Material- und Collidervertrag abgenommen";"2026-08-25"
"MP0-0100";"Assets/_Game/Prefabs/Environment/StyleProof/SP_Tree_A.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Umgebungskit: LOD0/1/2, Material- und Collidervertrag abgenommen";"2026-08-25"
"MP0-0101";"Assets/_Game/Prefabs/Environment/StyleProof/SP_Tree_B.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Umgebungskit: LOD0/1/2, Material- und Collidervertrag abgenommen";"2026-08-25"
"MP0-0102";"Assets/_Game/Prefabs/Environment/StyleProof/SP_Tree_C.prefab";"Umgebung/Zonenprops";"abgenommen";"Codex";"Phase-5-Umgebungskit: LOD0/1/2, Material- und Collidervertrag abgenommen";"2026-08-25"
